[28/03/2015 - 10:20:11] - AdmCmd: GMX dado por Info_Inside
[31/08/2015 - 16:43:17] - AdmCmd: GMX dado por AJDJDIS_AOJK
[31/08/2015 - 17:48:15] - AdmCmd: GMX dado por AJDJD_l
[31/08/2015 - 17:50:24] - AdmCmd: GMX dado por AJDJD_l
[31/08/2015 - 17:53:01] - AdmCmd: GMX dado por AJDJD_l
[31/08/2015 - 17:57:42] - AdmCmd: GMX dado por AJDJD_l
[31/08/2015 - 18:06:44] - AdmCmd: GMX dado por AJDJD_l
[31/08/2015 - 18:11:40] - AdmCmd: GMX dado por AJDJD_l
[31/08/2015 - 18:22:12] - AdmCmd: GMX dado por ADJ_l
[31/08/2015 - 18:27:50] - AdmCmd: GMX dado por ADJ_l
[31/08/2015 - 18:56:09] - AdmCmd: GMX dado por ADJ_l
[31/08/2015 - 19:02:22] - AdmCmd: GMX dado por ADJ_l
[31/08/2015 - 19:22:00] - AdmCmd: GMX dado por Math_OmITO
[01/09/2015 - 00:49:28] - AdmCmd: GMX dado por xZu_OwneRSF
[01/09/2015 - 00:58:08] - AdmCmd: GMX dado por xZu_OwneRSF
[01/09/2015 - 01:03:47] - AdmCmd: GMX dado por xZu_OwneRSF
[01/09/2015 - 12:28:11] - AdmCmd: GMX dado por William_arDz
[01/09/2015 - 12:33:07] - AdmCmd: GMX dado por William_arDz
[01/09/2015 - 13:13:35] - AdmCmd: GMX dado por William_arD
[01/09/2015 - 13:18:07] - AdmCmd: GMX dado por William_arD
[13/02/2017 - 02:28:52] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 02:42:26] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 02:55:12] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 03:07:15] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 03:10:32] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 05:00:01] - AdmCmd: GMX dado as 5 Horas Automatico
[13/02/2017 - 05:30:41] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 05:45:39] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 05:52:51] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 05:56:16] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 17:10:40] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 17:30:56] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 17:40:52] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 18:54:33] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 19:00:09] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 19:03:51] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 19:06:59] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 19:13:49] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 19:21:27] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 19:24:39] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 19:32:21] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 19:35:13] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 19:39:30] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 19:45:17] - AdmCmd: GMX dado por Jackson_xP
[13/02/2017 - 19:51:56] - AdmCmd: GMX dado por Jackson_xP
[14/02/2017 - 14:48:44] - AdmCmd: GMX dado por Jackson_xP
[14/02/2017 - 14:52:19] - AdmCmd: GMX dado por Jackson_xP
[14/02/2017 - 14:56:44] - AdmCmd: GMX dado por Jackson_xP
[14/02/2017 - 14:57:29] - AdmCmd: GMX dado por Jackson_xP
[14/02/2017 - 15:00:12] - AdmCmd: GMX dado por Jackson_xP
[14/02/2017 - 15:03:22] - AdmCmd: GMX dado por Jackson_xP
[14/02/2017 - 15:06:02] - AdmCmd: GMX dado por Jackson_xP
[14/02/2017 - 15:13:36] - AdmCmd: GMX dado por Jackson_xP
[14/02/2017 - 16:07:18] - AdmCmd: GMX dado por Jackson_xP
[14/02/2017 - 17:15:00] - AdmCmd: GMX dado por Jackson_xP
[15/02/2017 - 17:49:48] - AdmCmd: GMX dado por Jackson_xP
[15/02/2017 - 18:02:30] - AdmCmd: GMX dado por Jackson_xP
[17/02/2017 - 00:39:29] - AdmCmd: GMX dado por Jackson_xP
[17/02/2017 - 00:42:36] - AdmCmd: GMX dado por Jackson_xP
[17/02/2017 - 00:49:11] - AdmCmd: GMX dado por Jackson_xP
[17/02/2017 - 00:53:02] - AdmCmd: GMX dado por Jackson_xP
[17/02/2017 - 00:59:58] - AdmCmd: GMX dado por Jackson_xP
[17/02/2017 - 01:04:45] - AdmCmd: GMX dado por Jackson_xP
[17/02/2017 - 01:08:12] - AdmCmd: GMX dado por Jackson_xP
[17/02/2017 - 02:00:48] - AdmCmd: GMX dado por Jackson_xP
[18/02/2017 - 19:49:47] - AdmCmd: GMX dado por Jackson_xP
[18/02/2017 - 19:50:36] - AdmCmd: GMX dado por Jackson_xP
[18/02/2017 - 19:55:13] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 05:00:01] - AdmCmd: GMX dado as 5 Horas Automatico
[22/02/2017 - 13:32:06] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 13:38:14] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 13:44:07] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 13:58:35] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 14:05:17] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 14:11:55] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 14:34:31] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 16:51:26] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 17:19:19] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 17:25:02] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 17:36:58] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 18:45:33] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 18:51:20] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 19:07:27] - AdmCmd: GMX dado por Jackson_xP
[22/02/2017 - 21:53:14] - AdmCmd: GMX dado por Jackson_xP
[23/02/2017 - 12:48:33] - AdmCmd: GMX dado por Jackson_xP
[02/03/2017 - 15:18:10] - AdmCmd: GMX dado por Jackson_xP
[07/01/2019 - 21:25:11] - AdmCmd: GMX dado por Jackson_xP
