[24/03/2015 - 20:57:48] - Dark_BR (No-Reload) [20:57:48 - 24/3/2015]
[24/03/2015 - 22:49:51] - Jhonatan_Killeer (JoyPad) [22:49:51 - 24/3/2015]
[24/03/2015 - 22:52:28] - Jhonatan_Killeer (JoyPad) [22:52:28 - 24/3/2015]
[24/03/2015 - 22:54:34] - Jhonatan_Killeer (JoyPad) [22:54:34 - 24/3/2015]
[24/03/2015 - 22:54:40] - Jhonatan_Killeer (JoyPad) [22:54:40 - 24/3/2015]
[24/03/2015 - 22:54:41] - Jhonatan_Killeer (JoyPad) [22:54:41 - 24/3/2015]
[24/03/2015 - 22:54:42] - Jhonatan_Killeer (JoyPad) [22:54:42 - 24/3/2015]
[24/03/2015 - 23:02:54] - Jhonatan_Killeer (JoyPad) [23:2:54 - 24/3/2015]
[24/03/2015 - 23:02:55] - Jhonatan_Killeer (JoyPad) [23:2:55 - 24/3/2015]
[24/03/2015 - 23:02:55] - Jhonatan_Killeer (JoyPad) [23:2:55 - 24/3/2015]
[24/03/2015 - 23:02:58] - Jhonatan_Killeer (JoyPad) [23:2:58 - 24/3/2015]
[24/03/2015 - 23:03:07] - Jhonatan_Killeer (JoyPad) [23:3:7 - 24/3/2015]
[24/03/2015 - 23:03:08] - Jhonatan_Killeer (JoyPad) [23:3:8 - 24/3/2015]
[24/03/2015 - 23:03:08] - Jhonatan_Killeer (JoyPad) [23:3:8 - 24/3/2015]
[24/03/2015 - 23:04:21] - Jhonatan_Killeer (JoyPad) [23:4:21 - 24/3/2015]
[24/03/2015 - 23:06:51] - Jhonatan_Killeer (JoyPad) [23:6:51 - 24/3/2015]
[24/03/2015 - 23:06:51] - Jhonatan_Killeer (JoyPad) [23:6:51 - 24/3/2015]
[24/03/2015 - 23:06:51] - Jhonatan_Killeer (JoyPad) [23:6:51 - 24/3/2015]
[25/03/2015 - 00:41:15] - Cursino_Lost (Usando uma UZI) [0:41:15 - 25/3/2015]
[25/03/2015 - 00:42:08] - Cursino_Lost (Usando uma TEC9) [0:42:8 - 25/3/2015]
[25/03/2015 - 08:49:32] - Jhonatan_Killeer (JoyPad) [8:49:32 - 25/3/2015]
[25/03/2015 - 08:49:33] - Jhonatan_Killeer (JoyPad) [8:49:33 - 25/3/2015]
[25/03/2015 - 08:49:33] - Jhonatan_Killeer (JoyPad) [8:49:33 - 25/3/2015]
[25/03/2015 - 08:49:42] - Jhonatan_Killeer (JoyPad) [8:49:42 - 25/3/2015]
[25/03/2015 - 08:49:42] - Jhonatan_Killeer (JoyPad) [8:49:42 - 25/3/2015]
[25/03/2015 - 08:49:42] - Jhonatan_Killeer (JoyPad) [8:49:42 - 25/3/2015]
[25/03/2015 - 08:49:55] - Jhonatan_Killeer (JoyPad) [8:49:55 - 25/3/2015]
[25/03/2015 - 08:49:55] - Jhonatan_Killeer (JoyPad) [8:49:55 - 25/3/2015]
[25/03/2015 - 08:49:55] - Jhonatan_Killeer (JoyPad) [8:49:55 - 25/3/2015]
[25/03/2015 - 08:52:13] - Jhonatan_Killeer (JoyPad) [8:52:13 - 25/3/2015]
[25/03/2015 - 08:52:13] - Jhonatan_Killeer (JoyPad) [8:52:13 - 25/3/2015]
[25/03/2015 - 08:52:13] - Jhonatan_Killeer (JoyPad) [8:52:13 - 25/3/2015]
[25/03/2015 - 08:52:14] - Jhonatan_Killeer (JoyPad) [8:52:14 - 25/3/2015]
[25/03/2015 - 08:52:15] - Jhonatan_Killeer (JoyPad) [8:52:15 - 25/3/2015]
[25/03/2015 - 08:52:16] - Jhonatan_Killeer (JoyPad) [8:52:16 - 25/3/2015]
[25/03/2015 - 08:52:16] - Jhonatan_Killeer (JoyPad) [8:52:16 - 25/3/2015]
[25/03/2015 - 08:52:17] - Jhonatan_Killeer (JoyPad) [8:52:17 - 25/3/2015]
[25/03/2015 - 08:52:19] - Jhonatan_Killeer (JoyPad) [8:52:19 - 25/3/2015]
[25/03/2015 - 08:52:19] - Jhonatan_Killeer (JoyPad) [8:52:19 - 25/3/2015]
[25/03/2015 - 08:52:19] - Jhonatan_Killeer (JoyPad) [8:52:19 - 25/3/2015]
[25/03/2015 - 08:52:19] - Jhonatan_Killeer (JoyPad) [8:52:19 - 25/3/2015]
[25/03/2015 - 08:52:20] - Jhonatan_Killeer (JoyPad) [8:52:20 - 25/3/2015]
[25/03/2015 - 08:52:20] - Jhonatan_Killeer (JoyPad) [8:52:20 - 25/3/2015]
[25/03/2015 - 08:52:21] - Jhonatan_Killeer (JoyPad) [8:52:21 - 25/3/2015]
[25/03/2015 - 08:53:12] - Jhonatan_Killeer (JoyPad) [8:53:12 - 25/3/2015]
[25/03/2015 - 08:53:12] - Jhonatan_Killeer (JoyPad) [8:53:12 - 25/3/2015]
[25/03/2015 - 08:58:06] - Jhonatan_Killeer (JoyPad) [8:58:6 - 25/3/2015]
[25/03/2015 - 08:58:45] - Jhonatan_Killeer (JoyPad) [8:58:45 - 25/3/2015]
[25/03/2015 - 08:58:45] - Jhonatan_Killeer (JoyPad) [8:58:45 - 25/3/2015]
[25/03/2015 - 08:58:45] - Jhonatan_Killeer (JoyPad) [8:58:45 - 25/3/2015]
[25/03/2015 - 08:58:45] - Jhonatan_Killeer (JoyPad) [8:58:45 - 25/3/2015]
[25/03/2015 - 08:58:45] - Jhonatan_Killeer (JoyPad) [8:58:45 - 25/3/2015]
[25/03/2015 - 09:01:34] - Jhonatan_Killeer (JoyPad) [9:1:34 - 25/3/2015]
[25/03/2015 - 09:01:34] - Jhonatan_Killeer (JoyPad) [9:1:34 - 25/3/2015]
[25/03/2015 - 09:01:34] - Jhonatan_Killeer (JoyPad) [9:1:34 - 25/3/2015]
[25/03/2015 - 09:01:34] - Jhonatan_Killeer (JoyPad) [9:1:34 - 25/3/2015]
[25/03/2015 - 09:01:46] - Jhonatan_Killeer (JoyPad) [9:1:46 - 25/3/2015]
[25/03/2015 - 09:04:24] - Jhonatan_Killeer (JoyPad) [9:4:24 - 25/3/2015]
[25/03/2015 - 09:04:26] - Jhonatan_Killeer (JoyPad) [9:4:26 - 25/3/2015]
[25/03/2015 - 09:05:26] - Jhonatan_Killeer (JoyPad) [9:5:26 - 25/3/2015]
[25/03/2015 - 09:05:26] - Jhonatan_Killeer (JoyPad) [9:5:26 - 25/3/2015]
[25/03/2015 - 09:05:33] - Jhonatan_Killeer (JoyPad) [9:5:33 - 25/3/2015]
[25/03/2015 - 09:05:34] - Jhonatan_Killeer (JoyPad) [9:5:34 - 25/3/2015]
[25/03/2015 - 09:05:34] - Jhonatan_Killeer (JoyPad) [9:5:34 - 25/3/2015]
[25/03/2015 - 09:05:34] - Jhonatan_Killeer (JoyPad) [9:5:34 - 25/3/2015]
[25/03/2015 - 09:05:35] - Jhonatan_Killeer (JoyPad) [9:5:35 - 25/3/2015]
[25/03/2015 - 09:05:35] - Jhonatan_Killeer (JoyPad) [9:5:35 - 25/3/2015]
[25/03/2015 - 09:05:44] - Jhonatan_Killeer (JoyPad) [9:5:44 - 25/3/2015]
[25/03/2015 - 09:05:47] - Jhonatan_Killeer (JoyPad) [9:5:47 - 25/3/2015]
[25/03/2015 - 09:05:52] - Jhonatan_Killeer (JoyPad) [9:5:52 - 25/3/2015]
[25/03/2015 - 09:05:52] - Jhonatan_Killeer (JoyPad) [9:5:52 - 25/3/2015]
[25/03/2015 - 09:05:53] - Jhonatan_Killeer (JoyPad) [9:5:53 - 25/3/2015]
[25/03/2015 - 09:09:49] - Jhonatan_Killeer (JoyPad) [9:9:49 - 25/3/2015]
[25/03/2015 - 09:09:52] - Jhonatan_Killeer (JoyPad) [9:9:52 - 25/3/2015]
[25/03/2015 - 09:11:14] - Jhonatan_Killeer (JoyPad) [9:11:14 - 25/3/2015]
[25/03/2015 - 09:11:45] - Jhonatan_Killeer (JoyPad) [9:11:45 - 25/3/2015]
[25/03/2015 - 09:11:46] - Jhonatan_Killeer (JoyPad) [9:11:46 - 25/3/2015]
[25/03/2015 - 09:11:48] - Jhonatan_Killeer (JoyPad) [9:11:48 - 25/3/2015]
[25/03/2015 - 09:11:49] - Jhonatan_Killeer (JoyPad) [9:11:49 - 25/3/2015]
[25/03/2015 - 09:11:50] - Jhonatan_Killeer (JoyPad) [9:11:50 - 25/3/2015]
[25/03/2015 - 09:11:50] - Jhonatan_Killeer (JoyPad) [9:11:50 - 25/3/2015]
[25/03/2015 - 09:11:51] - Jhonatan_Killeer (JoyPad) [9:11:51 - 25/3/2015]
[25/03/2015 - 09:11:51] - Jhonatan_Killeer (JoyPad) [9:11:51 - 25/3/2015]
[25/03/2015 - 09:11:52] - Jhonatan_Killeer (JoyPad) [9:11:52 - 25/3/2015]
[25/03/2015 - 09:11:53] - Jhonatan_Killeer (JoyPad) [9:11:53 - 25/3/2015]
[25/03/2015 - 09:12:16] - Jhonatan_Killeer (JoyPad) [9:12:16 - 25/3/2015]
[25/03/2015 - 10:04:20] - FraJoLa_Volt (AirBreak ou Teleport) [10:4:20 - 25/3/2015]
[25/03/2015 - 10:15:05] - Jhonatan_Killeer (ProAim.cs) [10:15:5 - 25/3/2015]
[25/03/2015 - 10:15:05] - Jhonatan_Killeer (ProAim.cs) [10:15:5 - 25/3/2015]
[25/03/2015 - 10:15:05] - Jhonatan_Killeer (ProAim.cs) [10:15:5 - 25/3/2015]
[25/03/2015 - 10:15:05] - Jhonatan_Killeer (ProAim.cs) [10:15:5 - 25/3/2015]
[25/03/2015 - 10:15:05] - Jhonatan_Killeer (ProAim.cs) [10:15:5 - 25/3/2015]
[25/03/2015 - 10:15:05] - Jhonatan_Killeer (ProAim.cs) [10:15:5 - 25/3/2015]
[25/03/2015 - 10:15:06] - Jhonatan_Killeer (ProAim.cs) [10:15:6 - 25/3/2015]
[25/03/2015 - 10:59:24] - FraJoLa_Volt (CarSmasher) [10:59:24 - 25/3/2015]
[25/03/2015 - 10:59:26] - FraJoLa_Volt (CarSmasher) [10:59:26 - 25/3/2015]
[25/03/2015 - 10:59:26] - FraJoLa_Volt (CarSmasher) [10:59:26 - 25/3/2015]
[25/03/2015 - 10:59:26] - FraJoLa_Volt (CarSmasher) [10:59:26 - 25/3/2015]
[25/03/2015 - 10:59:34] - FraJoLa_Volt (CarSmasher) [10:59:34 - 25/3/2015]
[25/03/2015 - 10:59:34] - Jhonatan_Killeer (Speed Hack) [10:59:34 - 25/3/2015]
[25/03/2015 - 10:59:45] - FraJoLa_Volt (CarSmasher) [10:59:45 - 25/3/2015]
[25/03/2015 - 10:59:45] - Jhonatan_Killeer (Speed Hack) [10:59:45 - 25/3/2015]
[25/03/2015 - 10:59:45] - FraJoLa_Volt (CarSmasher) [10:59:45 - 25/3/2015]
[25/03/2015 - 10:59:45] - FraJoLa_Volt (CarSmasher) [10:59:45 - 25/3/2015]
[25/03/2015 - 10:59:45] - FraJoLa_Volt (CarSmasher) [10:59:45 - 25/3/2015]
[25/03/2015 - 10:59:46] - FraJoLa_Volt (CarSmasher) [10:59:46 - 25/3/2015]
[25/03/2015 - 11:42:16] - Jhonatan_Killeer (Speed Hack) [11:42:16 - 25/3/2015]
[25/03/2015 - 11:42:16] - FraJoLa_Volt (Speed Hack) [11:42:16 - 25/3/2015]
[25/03/2015 - 11:42:16] - FraJoLa_Volt (CarSmasher) [11:42:16 - 25/3/2015]
[25/03/2015 - 11:43:40] - FraJoLa_Volt (CarSmasher) [11:43:40 - 25/3/2015]
[25/03/2015 - 11:43:55] - Jhonatan_Killeer (Speed Hack) [11:43:55 - 25/3/2015]
[25/03/2015 - 11:43:55] - FraJoLa_Volt (Speed Hack) [11:43:55 - 25/3/2015]
[25/03/2015 - 11:43:55] - FraJoLa_Volt (CarSmasher) [11:43:55 - 25/3/2015]
[25/03/2015 - 11:43:56] - Jhonatan_Killeer (Speed Hack) [11:43:56 - 25/3/2015]
[25/03/2015 - 11:43:56] - FraJoLa_Volt (AirBreak ou Teleport) [11:43:56 - 25/3/2015]
[25/03/2015 - 11:43:57] - Jhonatan_Killeer (Speed Hack) [11:43:57 - 25/3/2015]
[25/03/2015 - 11:43:58] - Jhonatan_Killeer (Speed Hack) [11:43:58 - 25/3/2015]
[25/03/2015 - 11:43:59] - Jhonatan_Killeer (Speed Hack) [11:43:59 - 25/3/2015]
[25/03/2015 - 11:44:00] - Jhonatan_Killeer (Speed Hack) [11:44:0 - 25/3/2015]
[25/03/2015 - 11:44:01] - Jhonatan_Killeer (Speed Hack) [11:44:1 - 25/3/2015]
[25/03/2015 - 11:44:04] - FraJoLa_Volt (CarSmasher) [11:44:4 - 25/3/2015]
[25/03/2015 - 11:44:12] - FraJoLa_Volt (CarSmasher) [11:44:12 - 25/3/2015]
[25/03/2015 - 11:44:21] - FraJoLa_Volt (CarSmasher) [11:44:21 - 25/3/2015]
[25/03/2015 - 11:44:22] - FraJoLa_Volt (CarSmasher) [11:44:22 - 25/3/2015]
[25/03/2015 - 11:44:32] - Jhonatan_Killeer (Speed Hack) [11:44:32 - 25/3/2015]
[25/03/2015 - 11:44:32] - FraJoLa_Volt (Speed Hack) [11:44:32 - 25/3/2015]
[25/03/2015 - 11:44:32] - FraJoLa_Volt (CarSmasher) [11:44:32 - 25/3/2015]
[25/03/2015 - 11:44:40] - FraJoLa_Volt (CarSmasher) [11:44:40 - 25/3/2015]
[25/03/2015 - 11:44:50] - FraJoLa_Volt (CarSmasher) [11:44:50 - 25/3/2015]
[25/03/2015 - 11:44:50] - Jhonatan_Killeer (Speed Hack) [11:44:50 - 25/3/2015]
[25/03/2015 - 11:44:51] - FraJoLa_Volt (CarSmasher) [11:44:51 - 25/3/2015]
