[26/03/2015 - 20:15:02] - AdmCmd: O Helper gilmar_cp: pediu para xArky_Volt lhe avaliar.
[30/03/2015 - 17:45:06] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Cap_AndradeBOPE lhe avaliar.
[30/03/2015 - 18:34:33] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Souza_GT lhe avaliar.
[30/03/2015 - 18:35:01] - AdmCmd: O Helper iArky_ShiFt: pediu para Cpt_JhonatanPM lhe avaliar.
[30/03/2015 - 18:44:46] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Buzi_ShiFt lhe avaliar.
[30/03/2015 - 18:47:14] - AdmCmd: O Helper Leo_Swift: pediu para Souza_GT lhe avaliar.
[30/03/2015 - 19:25:32] - AdmCmd: O Helper Leo_Swift: pediu para HarD_FasT lhe avaliar.
[30/03/2015 - 19:59:36] - AdmCmd: O Helper Leo_Swift: pediu para Caio_xt lhe avaliar.
[31/03/2015 - 00:35:18] - AdmCmd: O Helper Leo_Swift: pediu para Expert_OwnZ lhe avaliar.
[31/03/2015 - 01:20:24] - AdmCmd: O Helper Leo_Swift: pediu para Pablo_eduardo lhe avaliar.
[31/03/2015 - 01:31:50] - AdmCmd: O Helper Leo_Swift: pediu para Kevin_Augusto lhe avaliar.
[31/03/2015 - 11:03:08] - AdmCmd: O Helper Leo_Swift: pediu para Rodrigo_Stark lhe avaliar.
[31/03/2015 - 12:04:55] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Chico_Freitas lhe avaliar.
[31/03/2015 - 12:11:33] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Emerson_Blood lhe avaliar.
[31/03/2015 - 12:34:45] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Emerson_Blood lhe avaliar.
[31/03/2015 - 12:43:34] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Souza_GT lhe avaliar.
[31/03/2015 - 12:53:13] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Vitor_Lucas lhe avaliar.
[31/03/2015 - 13:19:39] - AdmCmd: O Helper Ramirez_Ferraz: pediu para teteu_vilhena lhe avaliar.
[31/03/2015 - 13:45:08] - AdmCmd: O Helper Ramirez_Ferraz: pediu para Dilva_Xablau lhe avaliar.
